Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
"nuts, nut products and seeds",23/02/2018,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",09/03/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",03/04/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",24/04/2018,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",07/06/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",13/06/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",14/02/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",11/04/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",15/04/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",19/04/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",02/05/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",20/05/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",20/05/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",20/05/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",24/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",13/06/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",10/07/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",11/07/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",31/07/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",30/09/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Ethiopia,
"nuts, nut products and seeds",11/12/2019,border rejection,border control - consignment detained,Netherlands,re-dispatch,product not (yet) placed on the market,serious,Ethiopia,
molluscs and products thereof - (obsolete),10/06/2005,information,border control - consignment detained,United Kingdom,destruction,no distribution,undecided,Ghana,
cereals and bakery products,11/07/2005,information,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Ghana,
"dietetic foods, food supplements, fortified foods",11/01/2017,information for attention,official control on the market,United Kingdom,withdrawal from recipient(s),distribution restricted to notifying country,serious,Ghana,
fish and fish products,22/01/1999,information,,France,,,undecided,Guinea,
fish and fish products,13/10/1999,information,,France,import not authorised,,undecided,Guinea,
fish and fish products,07/04/2000,information,,France,import not authorised,,undecided,Guinea,
fish and fish products,01/02/1999,information,,Germany,seizure,,undecided,Kenya,
fish and fish products,01/02/1999,information,,Germany,seizure,,undecided,Kenya,
fish and fish products,26/03/2003,information,border control - consignment detained,Italy,import not authorised,,undecided,Kenya,
fish and fish products,21/08/2003,information,border control - consignment detained,Italy,destruction,,undecided,Kenya,
fish and fish products,28/12/2006,information,border control - consignment released,Germany,reinforced checking,product already consumed,undecided,Kenya,
fish and fish products,19/01/2007,alert,border control - consignment released,Germany,,distribution on the market (possible),undecided,Kenya,
fish and fish products,22/09/2008,information,border control - consignment released,Italy,reinforced checking,distribution on the market (possible),undecided,Kenya,
fish and fish products,29/09/2008,border rejection,border control - consignment detained,Italy,destruction,no distribution,undecided,Kenya,
fish and fish products,20/11/2008,information,border control - consignment released,Germany,destination of the product identified,distribution on the market (possible),undecided,Kenya,
fish and fish products,11/06/2010,information,border control - consignment released,Poland,informing authorities,distribution on the market (possible),undecided,Kenya,
fish and fish products,13/07/2010,information,border control - consignment released,Italy,withdrawal from the market,distribution restricted to notifying country,undecided,Kenya,
fish and fish products,09/09/2010,border rejection,border control - consignment detained,Italy,re-dispatch or destruction,no distribution,undecided,Kenya,
fish and fish products,24/06/2011,information for attention,border control - consignment released,Germany,informing recipient(s),product already consumed,undecided,Kenya,
