Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
"nuts, nut products and seeds",07/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",08/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",21/05/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",22/05/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",23/05/2019,information for attention,company's own check,Germany,withdrawal from the market,distribution restricted to notifying country,serious,Nigeria,
"nuts, nut products and seeds",24/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",28/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",29/05/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",03/06/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",21/06/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",03/07/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",05/07/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",26/07/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",05/08/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",28/08/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
herbs and spices,30/08/2019,information for attention,official control on the market,Italy,recall from consumers,distribution restricted to notifying country,serious,Nigeria,
wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),04/05/1999,information,,Spain,import not authorised,,undecided,Senegal,
molluscs and products thereof - (obsolete),22/10/1999,information,,Italy,import not authorised,,undecided,Senegal,
fish and fish products,02/09/1999,information,,France,import not authorised,,undecided,Senegal,
crustaceans and products thereof,29/08/2000,alert,,Belgium,,,undecided,Senegal,
fish and fish products,27/09/1999,information,,France,import not authorised,,undecided,Senegal,
molluscs and products thereof - (obsolete),24/10/2000,information,,France,product recall or withdrawal,,undecided,Senegal,
molluscs and products thereof - (obsolete),09/03/2001,information,,Greece,import not authorised,,undecided,Senegal,
fish and fish products,13/10/1999,information,,France,import not authorised,,undecided,Senegal,
fish and fish products,16/02/2000,information,,France,import not authorised,,undecided,Senegal,
fish and fish products,21/09/2000,information,,France,destruction,,undecided,Senegal,
fish and fish products,24/10/2003,information,border control - consignment released,France,product recall or withdrawal,,undecided,Senegal,
fish and fish products,27/10/2003,alert,border control - consignment released,France,product recall or withdrawal,,undecided,Senegal,
fish and fish products,21/11/2005,information,border control - consignment released,Italy,reinforced checking,product already consumed,undecided,Senegal,
fish and fish products,24/09/2008,information,border control - consignment released,Germany,destination of the product identified,distribution on the market (possible),undecided,Senegal,
molluscs and products thereof - (obsolete),06/11/2003,information,border control - consignment detained,Italy,re-dispatch,,undecided,Senegal,
fish and fish products,14/09/2009,information,border control - consignment released,Germany,informing recipient(s),product already consumed,undecided,Senegal,
fish and fish products,12/10/2009,border rejection,border control - consignment detained,Germany,re-dispatch or destruction,no distribution,undecided,Senegal,
fish and fish products,06/11/2009,border rejection,border control - consignment detained,Spain,destruction,no distribution,undecided,Senegal,
"nuts, nut products and seeds",15/03/2007,information,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Senegal,
"nuts, nut products and seeds",13/06/2014,border rejection,border control - consignment detained,Italy,import not authorised,product not (yet) placed on the market,serious,Senegal,
"soups, broths, sauces and condiments",23/06/2016,alert,company's own check,United Kingdom,public warning - press release,distribution to other member countries,serious,South Africa,
poultry meat and poultry meat products,06/09/2016,information for follow-up,border control - consignment released,Germany,informing authorities,distribution to other member countries,not serious,South Africa,
cereals and bakery products,31/08/2018,alert,company's own check,Netherlands,informing recipient(s),distribution to other member countries,serious,South Africa,
"nuts, nut products and seeds",14/03/2013,information for attention,border control - consignment released,Cyprus,physical/chemical treatment,distribution restricted to notifying country,serious,Sudan,
"nuts, nut products and seeds",25/01/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/02/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/03/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",17/03/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",17/03/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/03/2017,alert,food poisoning,Germany,recall from consumers,distribution to other member countries,serious,Sudan,
"nuts, nut products and seeds",05/04/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",06/04/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/04/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/05/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",15/06/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",26/07/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/08/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",08/09/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/11/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/11/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/12/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",17/01/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/01/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",25/01/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/02/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/02/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",08/02/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/02/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",15/02/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/03/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/03/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/03/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",20/03/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",30/03/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/04/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/04/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/04/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",12/04/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",12/04/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",13/04/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",16/04/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/05/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/05/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/05/2018,border rejection,border control - consignment detained,Poland,return to consignor,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",18/05/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",22/05/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",23/05/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",23/05/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",23/05/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",25/05/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",08/06/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",13/06/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",13/06/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",13/06/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",29/06/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",29/06/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/07/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/07/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",10/07/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/07/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",18/07/2018,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",18/07/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",20/07/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/07/2018,border rejection,border control - consignment detained,France,return to consignor,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/07/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/08/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/08/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",08/08/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/08/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/08/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",24/08/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",24/08/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/09/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/10/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/10/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",12/10/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",16/10/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",16/10/2018,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",30/10/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",15/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",21/11/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/12/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/12/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/01/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/01/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",10/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/01/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",23/01/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",08/02/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",13/02/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",13/02/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/02/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/02/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",21/02/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",21/02/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",21/02/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",21/02/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",22/02/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",26/02/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",26/02/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",26/02/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/02/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/02/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",01/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",14/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",15/03/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/03/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",29/03/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/04/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",17/04/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/04/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/04/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",02/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",20/05/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",20/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",21/05/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",29/05/2019,border rejection,border control - consignment under customs,Italy,,product allowed to travel to destination under customs seals,serious,Sudan,
"nuts, nut products and seeds",03/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",03/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",11/06/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/07/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",24/07/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",26/07/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/07/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/08/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",22/08/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",04/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",05/09/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",09/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",16/09/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",16/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",19/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",20/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/09/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",27/09/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",30/09/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",30/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",30/09/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/10/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/10/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/10/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",06/11/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",06/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",07/11/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",12/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",25/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
